Title,Author,Genre,Description,Mood,CoverImage,FreeLink,Rating,Review
The Great Gatsby,F. Scott Fitzgerald,Fiction,A story about the Jazz Age,neutral,https://covers.openlibrary.org/b/id/10780935-M.jpg,https://openlibrary.org/works/OL36242W/The_Great_Gatsby,4.5,"A timeless classic about the American Dream."
The Catcher in the Rye,J.D. Salinger,Fiction,A teenager's experiences in New York City,sad,https://covers.openlibrary.org/b/id/9245645-M.jpg,https://openlibrary.org/works/OL36211W/The_Catcher_in_the_Rye,4.2,"Captures teenage angst perfectly."
To Kill a Mockingbird,Harper Lee,Fiction,A novel about racial injustice,happy,https://covers.openlibrary.org/b/id/14649208-M.jpg,https://openlibrary.org/works/OL36208W/To_Kill_a_Mockingbird,4.8,"Powerful story of morality and justice."
1984,George Orwell,Dystopian,A chilling depiction of a totalitarian regime,fearful,https://covers.openlibrary.org/b/id/12525678-M.jpg,https://openlibrary.org/works/OL36243W/1984,4.7,"A thought-provoking dystopian novel."
Pride and Prejudice,Jane Austen,Romance,A classic novel about love and society,romantic,https://covers.openlibrary.org/b/id/14619627-M.jpg,https://openlibrary.org/works/OL36230W/Pride_and_Prejudice,4.6,"Witty and charming story of love and society."
The Road,Cormac McCarthy,Post-Apocalyptic,A story about a father and son's journey,sad,https://covers.openlibrary.org/b/id/8375198-M.jpg,https://openlibrary.org/works/OL36236W/The_Road,4.3,"A gripping and emotional journey."
The Alchemist,Paulo Coelho,Fiction,A journey of self-discovery,happy,https://covers.openlibrary.org/b/id/11587023-M.jpg,https://openlibrary.org/works/OL36253W/The_Alchemist,4.7,"Inspirational story about following your dreams."
Moby-Dick,Herman Melville,Adventure,The epic quest of Captain Ahab to hunt the white whale,adventurous,https://covers.openlibrary.org/b/id/12807453-M.jpg,https://openlibrary.org/works/OL36241W/Moby-Dick,4.1,"An epic tale of obsession and adventure."
Brave New World,Aldous Huxley,Dystopian,A vision of a future society driven by technology,fearful,https://covers.openlibrary.org/b/id/10993168-M.jpg,https://openlibrary.org/works/OL36250W/Brave_New_World,4.4,"A chilling vision of the future."
Wuthering Heights,Emily Brontë,Romance,A tale of passion and revenge on the Yorkshire moors,romantic,https://covers.openlibrary.org/b/id/14543388-M.jpg,https://openlibrary.org/works/OL36244W/Wuthering_Heights,4.5,"Dark, intense, and unforgettable."
Jane Eyre,Charlotte Brontë,Romance,A classic story of love and independence,romantic,https://covers.openlibrary.org/b/id/11657937-M.jpg,https://openlibrary.org/works/OL36235W/Jane_Eyre,4.6,"A timeless tale of love and self-discovery."
The Picture of Dorian Gray,Oscar Wilde,Fiction,A story about vanity and moral corruption,neutral,https://covers.openlibrary.org/b/id/14314699-M.jpg,https://openlibrary.org/works/OL36248W/The_Picture_of_Dorian_Gray,4.4,"Dark, philosophical, and beautifully written."
Fahrenheit 451,Ray Bradbury,Dystopian,A world where books are banned and burned,fearful,https://covers.openlibrary.org/b/id/8461232-M.jpg,https://openlibrary.org/works/OL36225W/Fahrenheit_451,4.7,"A gripping cautionary tale about censorship."
The Little Prince,Antoine de Saint-Exupéry,Children's,The tale of a young prince exploring different worlds,neutral,https://covers.openlibrary.org/b/id/115557-M.jpg,https://openlibrary.org/works/OL36238W/The_Little_Prince,4.8,"Beautifully imaginative and deeply philosophical."
The Hobbit,J.R.R. Tolkien,Fantasy,A prelude to the Lord of the Rings adventure,adventurous,https://covers.openlibrary.org/b/id/14635003-M.jpg,https://openlibrary.org/works/OL36239W/The_Hobbit,4.9,"Epic adventure with unforgettable characters."
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,A young wizard's journey begins,adventurous,https://covers.openlibrary.org/b/id/276518-M.jpg,https://openlibrary.org/works/OL36256W/Harry_Potter_and_the_Sorcerer's_Stone,4.8,"Magical start to an iconic series."
The Shining,Stephen King,Horror,A story of madness and supernatural events,fearful,https://covers.openlibrary.org/b/id/14652642-M.jpg,https://openlibrary.org/works/OL36245W/The_Shining,4.5,"Terrifying and suspenseful, classic horror."
Dune,Frank Herbert,Science Fiction,A saga of politics and ecology on a desert planet,adventurous,https://covers.openlibrary.org/b/id/6978883-M.jpg,https://openlibrary.org/works/OL36255W/Dune,4.7,"Epic sci-fi with rich world-building."
Life of Pi,Yann Martel,Adventure,A tale of survival and faith on the open sea,adventurous,https://covers.openlibrary.org/b/id/7890715-M.jpg,https://openlibrary.org/works/OL36252W/Life_of_Pi,4.6,"Inspiring story of faith, courage, and survival."
The Bell Jar,Sylvia Plath,Fiction,A semi-autobiographical novel about mental illness,sad,https://covers.openlibrary.org/b/id/9269420-M.jpg,https://openlibrary.org/works/OL36249W/The_Bell_Jar,4.5,"Profound exploration of mental health and identity."
The Girl on the Train,Paula Hawkins,Thriller,A psychological thriller about a woman's disappearance,fearful,https://covers.openlibrary.org/b/id/14652054-M.jpg,https://openlibrary.org/works/OL36224W/The_Girl_on_the_Train,4.3,"Tense and gripping, keeps you on edge."
Gone with the Wind,Margaret Mitchell,Historical Fiction,A sweeping narrative set during the American Civil War,romantic,https://covers.openlibrary.org/b/id/11421744-M.jpg,https://openlibrary.org/works/OL36240W/Gone_with_the_Wind,4.7,"Epic story with unforgettable characters and romance."
Catch-22,Joseph Heller,Satire,A satirical novel about the absurdity of war,neutral,https://covers.openlibrary.org/b/id/10098512-M.jpg,https://openlibrary.org/works/OL36231W/Catch-22,4.4,"Clever satire highlighting the absurdities of war."
The Hunger Games,Suzanne Collins,Dystopian,A young girl's fight for survival in a televised game,fearful,https://covers.openlibrary.org/b/id/12878037-M.jpg,https://openlibrary.org/works/OL36258W/The_Hunger_Games,4.6,"Exciting and thrilling dystopian adventure."
The Secret Garden,Frances Hodgson Burnett,Children's,A story of a hidden garden and personal growth,happy,https://covers.openlibrary.org/b/id/9290906-M.jpg,https://openlibrary.org/works/OL36259W/The_Secret_Garden,4.8,"Heartwarming story of growth, friendship, and discovery."
The Kite Runner,Khaled Hosseini,Fiction,A story of friendship and redemption in Afghanistan,sad,https://covers.openlibrary.org/b/id/12811645-M.jpg,https://openlibrary.org/works/OL36260W/The_Kite_Runner,4.7,"Emotionally powerful tale of friendship and redemption."
The Art of Happiness,The Dalai Lama,Self-Help,A guide to achieving happiness through mental discipline,inspired,https://covers.openlibrary.org/b/id/823994-L.jpg,https://openlibrary.org/works/OL36261W/The_Art_of_Happiness,4.9,"Insightful guide to mindfulness and happiness."
Man's Search for Meaning,Victor Frankl,Self-Help,Reflections on finding purpose and meaning in life,inspired,https://covers.openlibrary.org/b/id/11203708-M.jpg,https://openlibrary.org/works/OL36262W/Man's_Search_for_Meaning,4.8,"Life-changing insights on purpose and resilience."
The Power of Now,Eckhart Tolle,Self-Help,An exploration of living in the present moment,inspired,https://covers.openlibrary.org/b/id/6878445-M.jpg,https://openlibrary.org/works/OL36263W/The_Power_of_Now,4.7,"Encourages living fully in the present moment."
Start with Why,Simon Sinek,Non-Fiction,An exploration of how leaders inspire action through purpose,inspired,https://covers.openlibrary.org/b/id/7351450-M.jpg,https://openlibrary.org/works/OL36264W/Start_with_Why,4.6,"Motivating and practical guide for leaders."
Atomic Habits,James Clear,Self-Help,A guide to building good habits and breaking bad ones,inspired,https://covers.openlibrary.org/b/id/14651573-M.jpg,https://openlibrary.org/works/OL36265W/Atomic_Habits,4.9,"Actionable strategies for habit formation and personal growth."
Big Magic: Creative Living Beyond Fear,Elizabeth Gilbert,Self-Help,Encouragement to embrace creativity and overcome fear,inspired,https://covers.openlibrary.org/b/id/9950409-M.jpg,https://openlibrary.org/works/OL36266W/Big_Magic,4.5,"Inspiring advice to overcome fear and embrace creativity."
The Four Agreements,Don Miguel Ruiz,Self-Help,A guide to personal freedom through four key agreements,inspired,https://covers.openlibrary.org/b/id/924521-M.jpg,https://openlibrary.org/works/OL36267W/The_Four_Agreements,4.8,"Practical wisdom for personal freedom and happiness."
You Are a Badass,Jen Sincero,Self-Help,Empowering advice to help readers improve their lives,inspired,https://covers.openlibrary.org/b/id/14537272-M.jpg,https://openlibrary.org/works/OL36268W/You_Are_a_Badass,4.7,"Motivating and empowering for personal growth."
Grit: The Power of Passion and Perseverance,Angela Duckworth,Non-Fiction,An exploration of how grit and perseverance contribute to success,inspired,https://covers.openlibrary.org/b/id/7438753-M.jpg,https://openlibrary.org/works/OL36269W/Grit,4.6,"Insightful exploration of perseverance and success."
